comment,tokenized_comment,comment_without_stopword,stopword,translated_tokenized_comment,translated_comment_without_stopword,translated_stopword,pos_tagged_tokenized_comment,pos_tagged_comment_without_stopword,pos_tagged_stopword
ইনশাআল্লাহ অনেক প্রত্যাশা নিয়ে অপেক্ষা করছে,"['ইনশাআল্লাহ', 'অনেক', 'প্রত্যাশা', 'নিয়ে', 'অপেক্ষা', 'করছে']","['ইনশাআল্লাহ', 'প্রত্যাশা', 'নিয়ে', 'অপেক্ষা', 'করছে']",['অনেক'],"['Insha Allah', 'Many', 'Expectation', 'With', 'Waiting', 'Doing']","['Insha Allah', 'Expectation', 'With', 'Waiting', 'Doing']",['Many'],"['NNP', 'JJ', 'NNP', 'IN', 'NNP', 'VBG']","['NNP', 'NNP', 'IN', 'NNP', 'VBG']",['JJ']
সবি এপ লিংক কেন ভাই!,"['সবি', 'এপ', 'লিংক', 'কেন', 'ভাই']","['সবি', 'এপ', 'লিংক', 'ভাই']",['কেন'],"['Siblings', 'App', 'Link', 'Why', 'Brother']","['Siblings', 'App', 'Link', 'Brother']",['Why'],"['NNS', 'NNP', 'NNP', 'WRB', 'NN']","['NNS', 'NNP', 'NNP', 'NNP']",['WRB']
বাসায় জানে! ,"['বাসায়', 'জানে']","['বাসায়', 'জানে']",[],"['At home', 'Know']","['At home', 'Know']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
শাকিব খান কই,"['শাকিব', 'খান', 'কই']","['শাকিব', 'খান', 'কই']",[],"['Shakib', 'Eating', 'Where']","['Shakib', 'Eating', 'Where']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
সকালে   পরে  করা ভালো ।।,"['সকালে', 'পরে', 'করা', 'ভালো']","['সকালে', 'পরে', 'করা', 'ভালো']",[],"['In the morning', 'After', 'Do', 'Good']","['In the morning', 'After', 'Do', 'Good']",[],"['VBG', 'IN', 'NNP', 'NNP']","['VBG', 'IN', 'NNP', 'NNP']",[]
ধন্যবাদ প্রিয়া সাহাসাহসী ভুমিকার জন্যে,"['ধন্যবাদ', 'প্রিয়া', 'সাহাসাহসী', 'ভুমিকার', 'জন্যে']","['ধন্যবাদ', 'সাহাসাহসী', 'ভুমিকার', 'জন্যে']",['প্রিয়া'],"['Thank you', 'Dear', 'Pilgrims', 'Role', 'For']","['Thank you', 'Pilgrims', 'Role', 'For']",['Dear'],"['NNP', 'NNP', 'NNP', 'NNP', 'IN']","['NNP', 'NNP', 'NNP', 'IN']",['NN']
মীর শওকত আলী রাইট,"['মীর', 'শওকত', 'আলী', 'রাইট']","['মীর', 'শওকত', 'আলী', 'রাইট']",[],"['Mir', 'Gesture', 'Ali', 'Right']","['Mir', 'Gesture', 'Ali', 'Right']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
হালা চামচা! গুজব হলে সত্যটা কী,"['হালা', 'চামচা', 'গুজব', 'হলে', 'সত্যটা', 'কী']","['গুজব', 'হলে', 'সত্যটা', 'কী']","['হালা', 'চামচা']","['Hall', 'Spoon', 'Rumor', 'In', 'True', 'Key']","['Rumor', 'In', 'True', 'Key']","['Hall', 'Spoon']","['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']","['NNP', 'IN', 'NNP', 'NNP']","['NNP', 'NNP']"
আলহামদুলিল্লাহ। ধন্যবাদ মাশরাফি ভাই।,"['আলহামদুলিল্লাহ', 'ধন্যবাদ', 'মাশরাফি', 'ভাই']","['আলহামদুলিল্লাহ', 'ধন্যবাদ', 'মাশরাফি']",['ভাই'],"['Alhamdulillah', 'Thank you', 'Mashrafe', 'Brother']","['Alhamdulillah', 'Thank you', 'Mashrafe']",['Brother'],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['NN']
ঘরের মেশিনডারেও ওর মত অসুস্থ বানাইতাছে,"['ঘরের', 'মেশিনডারেও', 'ওর', 'মত', 'অসুস্থ', 'বানাইতাছে']","['ঘরের', 'মেশিনডারেও', 'ওর', 'মত', 'অসুস্থ', 'বানাইতাছে']",[],"['House', 'Machinery', 'Her', 'Opinion', 'Ill', 'Made']","['House', 'Machinery', 'Her', 'Opinion', 'Ill', 'Made']",[],"['NNP', 'NNP', 'PRP$', 'NNP', 'NNP', 'VBD']","['NNP', 'NNP', 'PRP$', 'NNP', 'NNP', 'VBD']",[]
ইনশাআল্লাহ দেশ এগিয়ে যাবে বহু দুর ,"['ইনশাআল্লাহ', 'দেশ', 'এগিয়ে', 'যাবে', 'বহু', 'দুর']","['ইনশাআল্লাহ', 'দেশ', 'এগিয়ে', 'যাবে', 'বহু', 'দুর']",[],"['Insha Allah', 'Country', 'Forward', 'Go', 'Many', 'Distant']","['Insha Allah', 'Country', 'Forward', 'Go', 'Many', 'Distant']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
ইনশা আল্লাহ,"['ইনশা', 'আল্লাহ']","['ইনশা', 'আল্লাহ']",[],"['Insha', 'Allah']","['Insha', 'Allah']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
তুমি বাংলার গর্ব।,"['তুমি', 'বাংলার', 'গর্ব']","['বাংলার', 'গর্ব']",['তুমি'],"['You', 'Bengal', 'Pride']","['Bengal', 'Pride']",['You'],"['PRP', 'VBP', 'VB']","['NNP', 'NNP']",['PRP']
আমিন,['আমিন'],['আমিন'],[],['Amin'],['Amin'],[],['NN'],['NN'],[]
বাংলাদেশের সেরা খেলাড়ি মিঃ সাকিব,"['বাংলাদেশের', 'সেরা', 'খেলাড়ি', 'মিঃ', 'সাকিব']","['বাংলাদেশের', 'সেরা', 'খেলাড়ি', 'মিঃ', 'সাকিব']",[],"['Bangladesh', 'Best', 'Pile', 'Mr.', 'Shakib']","['Bangladesh', 'Best', 'Pile', 'Mr.', 'Shakib']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
ফ্রান্স,['ফ্রান্স'],['ফ্রান্স'],[],['France'],['France'],[],['NNP'],['NNP'],[]
অপুর্ব,['অপুর্ব'],['অপুর্ব'],[],['Uninterrupted'],['Uninterrupted'],[],['VBN'],['VBN'],[]
ইন্না লিল্লাহি ওয়া ইন্না ইলাহী রাজিউন ,"['ইন্না', 'লিল্লাহি', 'ওয়া', 'ইন্না', 'ইলাহী', 'রাজিউন']","['ইন্না', 'লিল্লাহি', 'ওয়া', 'ইন্না', 'ইলাহী', 'রাজিউন']",[],"['Ina', 'Lillah', 'Wing', 'Ina', 'Elahi', 'Razune']","['Ina', 'Lillah', 'Wing', 'Ina', 'Elahi', 'Razune']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
সাদী শরীফ উদ্দিন,"['সাদী', 'শরীফ', 'উদ্দিন']","['সাদী', 'শরীফ', 'উদ্দিন']",[],"['Saadi', 'Sharif', 'Gesture']","['Saadi', 'Sharif', 'Gesture']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
স্যালুট ,['স্যালুট'],['স্যালুট'],[],['Salute'],['Salute'],[],['NN'],['NN'],[]
উফ!!,['উফ'],['উফ'],[],['Oof'],['Oof'],[],['NN'],['NN'],[]
মহান আল্লাহ তাকে জান্নাতবাসী করুক আমিন,"['মহান', 'আল্লাহ', 'তাকে', 'জান্নাতবাসী', 'করুক', 'আমিন']","['মহান', 'আল্লাহ', 'তাকে', 'জান্নাতবাসী', 'করুক', 'আমিন']",[],"['Great', 'Allah', 'Her', 'Paradise', 'Do', 'Amin']","['Great', 'Allah', 'Her', 'Paradise', 'Do', 'Amin']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
কমফু পাণ্ডা হচ্ছে টিভিতে আপা,"['কমফু', 'পাণ্ডা', 'হচ্ছে', 'টিভিতে', 'আপা']","['কমফু', 'পাণ্ডা', 'টিভিতে', 'আপা']",['হচ্ছে'],"['Camouflage', 'Panda', 'Be', 'On TV', 'Apa']","['Camouflage', 'Panda', 'On TV', 'Apa']",['Be'],"['NN', 'NNP', 'NNP', 'NNP', 'NNP']","['NN', 'NNP', 'NNP', 'NNP']",['VB']
ভালবাসার আরেক নাম মাশরাফি বিন মুর্তজা ,"['ভালবাসার', 'আরেক', 'নাম', 'মাশরাফি', 'বিন', 'মুর্তজা']","['ভালবাসার', 'আরেক', 'নাম', 'মাশরাফি', 'বিন', 'মুর্তজা']",[],"['Love', 'Another', 'Name', 'Mashrafe', 'Bin', 'Murtaza']","['Love', 'Another', 'Name', 'Mashrafe', 'Bin', 'Murtaza']",[],"['VB', 'DT', 'NN', 'NNP', 'NNP', 'NNP']","['VB', 'DT', 'NN', 'NNP', 'NNP', 'NNP']",[]
মাশাল্লাহ সুবহানআল্লাহ,"['মাশাল্লাহ', 'সুবহানআল্লাহ']","['মাশাল্লাহ', 'সুবহানআল্লাহ']",[],"['Mashal', 'SubhanAllah']","['Mashal', 'SubhanAllah']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
সেই,['সেই'],[],['সেই'],['That'],[],['That'],['DT'],[],['DT']
নতুন কারো অপেক্ষায় ,"['নতুন', 'কারো', 'অপেক্ষায়']","['কারো', 'অপেক্ষায়']",['নতুন'],"['New', 'Some', 'Waiting']","['Some', 'Waiting']",['New'],"['NNP', 'DT', 'NNP']","['DT', 'VBG']",['NNP']
কাক্কু আমার সেলামি কোই ,"['কাক্কু', 'আমার', 'সেলামি', 'কোই']","['কাক্কু', 'আমার', 'সেলামি', 'কোই']",[],"['Cucumber', 'Me', 'Salami', 'Koi']","['Cucumber', 'Me', 'Salami', 'Koi']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
তোমার এ গানটি আমি বারবার শুনি।,"['তোমার', 'এ', 'গানটি', 'আমি', 'বারবার', 'শুনি']","['তোমার', 'গানটি', 'বারবার', 'শুনি']","['এ', 'আমি']","['Your', 'This', 'Song', 'I', 'Again and again', 'Listening']","['Your', 'Song', 'Again and again', 'Listening']","['This', 'I']","['PRP$', 'DT', 'NN', 'PRP', 'VBP', 'VBG']","['PRP$', 'NNP', 'NNP', 'NNP']","['DT', 'PRP']"
তুমি দুবাই ঘরোয়া কোন আমন্তনে আসব।,"['তুমি', 'দুবাই', 'ঘরোয়া', 'কোন', 'আমন্তনে', 'আসব']","['দুবাই', 'ঘরোয়া', 'আমন্তনে', 'আসব']","['তুমি', 'কোন']","['You', 'Dubai', 'Domestic', 'Any', 'In the meantime', 'Asb']","['Dubai', 'Domestic', 'In the meantime', 'Asb']","['You', 'Any']","['PRP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']","['PRP', 'VBP']"
জাযাকাললাহ হুজুর,"['জাযাকাললাহ', 'হুজুর']","['জাযাকাললাহ', 'হুজুর']",[],"['Jazakallah', 'Guru']","['Jazakallah', 'Guru']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
সাব্বাশ সাফা কবির!! ,"['সাব্বাশ', 'সাফা', 'কবির']","['সাব্বাশ', 'সাফা', 'কবির']",[],"['Bolt', 'Safety', 'Poet']","['Bolt', 'Safety', 'Poet']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
মিথিলার বোন,"['মিথিলার', 'বোন']","['মিথিলার', 'বোন']",[],"['Mithila', 'Sister']","['Mithila', 'Sister']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
লজ্জা থাকলে ফেসবুক ছেরে চলে জেতো,"['লজ্জা', 'থাকলে', 'ফেসবুক', 'ছেরে', 'চলে', 'জেতো']","['লজ্জা', 'থাকলে', 'ফেসবুক', 'ছেরে', 'চলে', 'জেতো']",[],"['Shame', 'If', 'Facebook', 'Wandering', 'Leaving', 'Winning']","['Shame', 'If', 'Facebook', 'Wandering', 'Leaving', 'Winning']",[],"['NN', 'IN', 'NNP', 'NNP', 'VBG', 'VBG']","['NN', 'IN', 'NNP', 'NNP', 'VBG', 'VBG']",[]
আল্লাহ তাকে হেদায়েত দিন,"['আল্লাহ', 'তাকে', 'হেদায়েত', 'দিন']","['আল্লাহ', 'হেদায়েত', 'দিন']",['তাকে'],"['Allah', 'Her', 'Guidance', 'Day']","['Allah', 'Guidance', 'Day']",['Her'],"['NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP']",['PRP$']
ঈদ মোবারক  ঈদ মোবারক,"['ঈদ', 'মোবারক', 'ঈদ', 'মোবারক']","['ঈদ', 'মোবারক', 'ঈদ', 'মোবারক']",[],"['Eid', 'Mob', 'Eid', 'Mob']","['Eid', 'Mob', 'Eid', 'Mob']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
বলেন আল্লাহ্ র জমিন। মানুষের নয়,"['বলেন', 'আল্লাহ্', 'র', 'জমিন', 'মানুষের', 'নয়']","['আল্লাহ্', 'র', 'জমিন', 'মানুষের', 'নয়']",['বলেন'],"['Said', 'God', 'R', 'Land', 'Man', 'Nine']","['God', 'R', 'Land', 'Man', 'Nine']",['Said'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['NN']
সোফা,['সোফা'],['সোফা'],[],['Sofa'],['Sofa'],[],['NN'],['NN'],[]
বর্ণবৈষম্য সর্বত্র!,"['বর্ণবৈষম্য', 'সর্বত্র']","['বর্ণবৈষম্য', 'সর্বত্র']",[],"['Racism', 'Everywhere']","['Racism', 'Everywhere']",[],"['NN', 'RB']","['NN', 'RB']",[]
আমার পছন্দের একজন নায়কলাব ইউ ভাই,"['আমার', 'পছন্দের', 'একজন', 'নায়কলাব', 'ইউ', 'ভাই']","['পছন্দের', 'একজন', 'নায়কলাব', 'ইউ']","['আমার', 'ভাই']","['Me', 'Preferred', 'One', 'Hero', 'U', 'Brother']","['Preferred', 'One', 'Hero', 'U']","['Me', 'Brother']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'CD', 'NNP', 'NNP']","['NNP', 'NNP']"
আমাকে কী পাগল বানাবে তুমি,"['আমাকে', 'কী', 'পাগল', 'বানাবে', 'তুমি']","['আমাকে', 'পাগল', 'বানাবে']","['কী', 'তুমি']","['Me', 'Key', 'Crazy', 'To make', 'You']","['Me', 'Crazy', 'To make']","['Key', 'You']","['NNP', 'NNP', 'NNP', 'NNP', 'PRP']","['NNP', 'NNP', 'NNP']","['NNP', 'PRP']"
ধন্যবাদ প্রিয় ,"['ধন্যবাদ', 'প্রিয়']","['প্রিয়', 'ধন্যবাদ']",[],"['Thank you', 'Beloved']","['Beloved', 'Thank you']",[],"['NNP', 'VBD']","['VBN', 'NN']",[]
আপু তুমি অনেক সুন্দর ,"['আপু', 'তুমি', 'অনেক', 'সুন্দর']","['আপু', 'অনেক', 'সুন্দর']",['তুমি'],"['Apocalyptic', 'You', 'Many', 'Beautiful']","['Apocalyptic', 'Many', 'Beautiful']",['You'],"['NNP', 'PRP', 'VBP', 'JJ']","['JJ', 'NNP', 'NNP']",['PRP']
হিরোআলম ভাই এগিয়ে জান শুভকামনা,"['হিরোআলম', 'ভাই', 'এগিয়ে', 'জান', 'শুভকামনা']","['হিরোআলম', 'এগিয়ে', 'জান', 'শুভকামনা']",['ভাই'],"['Hero Alam', 'Brother', 'Forward', 'Know', 'Good luck']","['Hero Alam', 'Forward', 'Know', 'Good luck']",['Brother'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",['NN']
ভালবাসা অবিরাম,"['ভালবাসা', 'অবিরাম']","['ভালবাসা', 'অবিরাম']",[],"['Love', 'Endless']","['Love', 'Endless']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
আপনার বাচ্চারা কেমন আছে।,"['আপনার', 'বাচ্চারা', 'কেমন', 'আছে']","['বাচ্চারা', 'কেমন', 'আছে']",['আপনার'],"['Yours', 'Children', 'How', 'There is']","['Children', 'How', 'There is']",['Yours'],"['NNS', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['NNS']
তাতে কারো কিছু যায় আসেনা।,"['তাতে', 'কারো', 'কিছু', 'যায়', 'আসেনা']","['কারো', 'যায়', 'আসেনা']","['তাতে', 'কিছু']","['So', 'Some', 'Something', 'Go', 'Do not come']","['Some', 'Go', 'Do not come']","['So', 'Something']","['RB', 'DT', 'NNP', 'NNP', 'NNP']","['DT', 'NNP', 'NNP']","['RB', 'VBG']"
আল্লাহ হেদায়েত নসীব করুন।,"['আল্লাহ', 'হেদায়েত', 'নসীব', 'করুন']","['আল্লাহ', 'হেদায়েত', 'নসীব', 'করুন']",[],"['Allah', 'Guidance', 'Nasib', 'Do']","['Allah', 'Guidance', 'Nasib', 'Do']",[],"['NNP', 'NNP', 'NNP', 'VBP']","['NNP', 'NNP', 'NNP', 'VBP']",[]
সুন্দরী আপু এতদিন কোথায় ছিলে,"['সুন্দরী', 'আপু', 'এতদিন', 'কোথায়', 'ছিলে']","['আপু', 'কোথায়', 'ছিলে']",['সুন্দরী'],"['Beautiful', 'Apocalyptic', 'So long', 'Where', 'Was']","['Apocalyptic', 'Where', 'Was']",['Beautiful'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['JJ']
মার্কেটিং বাহ্,"['মার্কেটিং', 'বাহ্']","['মার্কেটিং', 'বাহ্']",[],"['Marketing', 'Wow']","['Marketing', 'Wow']",[],"['NN', 'NN']","['NN', 'NN']",[]
ঠিক খুব মনে পড়ে  ,"['ঠিক', 'খুব', 'মনে', 'পড়ে']","['মনে', 'পড়ে']","['ঠিক', 'খুব']","['Right', 'Very', 'Fondly', 'Fall']","['Fondly', 'Fall']","['Right', 'Very']","['JJ', 'NNP', 'RB', 'NNP']","['RB', 'NNP']","['RB', 'RB']"
